Trip,Date,Location,Tyres,Temperature (Start) (¡C),Temperature (End) (¡C),Distance (km),Duration (minutes),Average Speed (km/h),Average Consumption (kWh/100km),Charge Level (Start) (%),Charge Level (End) (%), A/C (¡C), Heated Front Seats (Level 0-3), Mode
1,2021-02-08,Istanbul,Bridgestone 215/45 R20 LM32,14,17.5,31,35,53,14.3,81,73,OFF,0,ECO
2,2021-02-08,Istanbul,Bridgestone 215/45 R20 LM32,19.5,19,32,52,37,14,73,65,OFF,0,ECO
3,2021-02-10,Istanbul,Bridgestone 215/45 R20 LM32,15,12.5,31,37,51,17.2,81,72,22,0,COMFORT
4,2021-02-11,Istanbul,Bridgestone 215/45 R20 LM32,16,14.5,31,31,61,14.5,81,72,OFF,0,COMFORT
5,2021-02-11,Istanbul,Bridgestone 215/45 R20 LM32,18,18,28,99,18,15.1,72,,OFF,0,ECO
6,2021-02-12,Istanbul,Bridgestone 215/45 R20 LM32,15.5,3.5,31,37,50,19.6,81,71,22,0,ECO
7,2021-02-12,Istanbul,Bridgestone 215/45 R20 LM32,3,5.5,31,38,50,18.7,70,59,22,1,ECO
8,2021-02-15,Istanbul,Bridgestone 215/45 R20 LM32,11.5,1.5,31,34,54,20.9,80,68,22,1,ECO
9,2021-02-15,Istanbul,Bridgestone 215/45 R20 LM32,2,4,31,30,64,24.4,68,54,22,0,ECO
10,2021-02-16,Istanbul,Bridgestone 215/45 R20 LM32,10.5,1,31,34,54,18.5,81,71,22,0,ECO
11,2021-02-16,Istanbul,Bridgestone 215/45 R20 LM32,1.5,1.5,30,42,43,25,71,57,22,0,ECO
12,2021-02-16,Istanbul,Bridgestone 215/45 R20 LM32,1.5,3,1,6,18,15.8,57,56,22,0,ECO
13,2021-02-19,Istanbul,Bridgestone 215/45 R20 LM32,9.5,4.5,31,34,54,17.3,78,68,22,0,ECO
14,2021-02-19,Istanbul,Bridgestone 215/45 R20 LM32,5,6.5,31,31,62,17.9,68,57,OFF,2,ECO
15,2021-02-23,Istanbul,Bridgestone 215/45 R20 LM32,8.5,5.5,31,34,54,17,81,72,22,0,ECO
16,2021-02-23,Istanbul,Bridgestone 215/45 R20 LM32,14,13,32,70,28,13.9,72,64,OFF,0,ECO
17,2021-02-24,Istanbul,Bridgestone 215/45 R20 LM32,9.5,8,31,35,53,17.4,76,66,22,0,ECO
18,2021-02-24,Istanbul,Bridgestone 215/45 R20 LM32,9,10,40,90,27,18.4,64,,22,0,ECO
19,2021-02-25,Istanbul,Bridgestone 215/45 R20 LM32,11,7.5,31,37,51,17.6,81,72,22,0,ECO
20,2021-02-25,Istanbul,Bridgestone 215/45 R20 LM32,12,11,31,52,37,14.9,72,63,OFF,0,ECO
21,2021-02-26,Istanbul,Bridgestone 215/45 R20 LM32,9,6.5,31,33,56,18.1,81,71,22,0,ECO
22,2021-02-26,Istanbul,Bridgestone 215/45 R20 LM32,14.5,15.5,31,34,56,13.2,71,63,OFF,0,ECO
23,2021-03-01,Istanbul,Bridgestone 215/45 R20 LM32,9,5.5,31,43,44,19.1,61,50,22,1,ECO
24,2021-03-01,Istanbul,Bridgestone 215/45 R20 LM32,9,9.5,31,41,46,15.1,50,40,OFF,0,ECO
25,2021-03-02,Istanbul,Bridgestone 215/45 R20 LM32,10.5,5.5,31,38,49,15.1,81,73,OFF,1,ECO
26,2021-03-02,Istanbul,Bridgestone 215/45 R20 LM32,6,7,36,164,14,30.3,73,52,22,1,ECO
27,2021-03-03,Istanbul,Bridgestone 215/45 R20 LM32,8.5,4.5,31,36,51,17,81,72,22,2,ECO
28,2021-03-03,Istanbul,Bridgestone 215/45 R20 LM32,9,9.5,38,94,25,19,72,58,22,0,ECO
29,2021-03-04,Istanbul,Bridgestone 215/45 R20 LM32,8.5,5,31,34,55,14.1,81,74,OFF,0,ECO
30,2021-03-04,Istanbul,Bridgestone 215/45 R20 LM32,11.5,11,33,80,25,15.1,74,65,OFF,0,ECO
31,2021-03-05,Istanbul,Bridgestone 215/45 R20 LM32,10.5,,31,35,54,17.6,81,71,22,0,ECO
32,2021-03-05,Istanbul,Bridgestone 215/45 R20 LM32,16,16.5,32,34,56,13.4,71,63,22,0,ECO
33,2021-03-08,Istanbul,Bridgestone 215/45 R20 LM32,10.5,4,31,45,43,17.2,81,72,22,0,ECO
34,2021-03-08,Istanbul,Bridgestone 215/45 R20 LM32,,9,26,45,36,17,70,61,OFF,0,ECO
35,2021-03-08,Istanbul,Bridgestone 215/45 R20 LM32,9,9,12,37,21,17.2,61,56,22,2,ECO
36,2021-03-09,Istanbul,Bridgestone 215/45 R20 LM32,10,7.5,31,38,50,16.9,55,45,22,0,ECO
37,2021-03-09,Istanbul,Bridgestone 215/45 R20 LM32,11,11,29,59,30,15.2,39,31,OFF,0,ECO
38,2021-03-10,Istanbul,Bridgestone 215/45 R20 LM32,11,8.5,31,37,51,14.4,81,73,OFF,0,ECO
39,2021-03-10,Istanbul,Bridgestone 215/45 R20 LM32,12,,21,42,30,18.7,73,66,OFF,0,ECO
40,2021-03-10,Istanbul,Bridgestone 215/45 R20 LM32,15,10,19,49,23,16.7,66,60,OFF,0,ECO
41,2021-03-11,Istanbul,Bridgestone 215/45 R20 LM32,12,7,31,43,43,15.9,81,72,OFF,1,ECO
42,2021-03-12,Istanbul,Bridgestone 215/45 R20 LM32,11,5.5,31,32,58,16.9,81,72,22,0,ECO
43,2021-03-15,Istanbul,Bridgestone 215/45 R20 LM32,12.5,13,31,37,50,13.6,81,74,OFF,0,ECO
44,2021-03-15,Istanbul,Bridgestone 215/45 R20 LM32,18.5,18,31,49,39,14.6,74,66,OFF,0,ECO
45,2021-03-16,Istanbul,Bridgestone 215/45 R20 LM32,12.5,12,31,36,51,14.3,81,73,OFF,0,ECO
46,2021-03-16,Istanbul,Bridgestone 215/45 R20 LM32,11,12.5,32,56,35,14.5,73,66,OFF,0,ECO
47,2021-03-17,Istanbul,Bridgestone 215/45 R20 LM32,11.5,12.5,31,38,49,18.5,81,71,22,0,ECO
48,2021-03-17,Istanbul,Bridgestone 215/45 R20 LM32,,9,31,41,46,18.7,,60,22,0,ECO
49,2021-03-18,Istanbul,Bridgestone 215/45 R20 LM32,11.5,7.5,31,36,52,14.6,81,73,OFF,0,ECO
50,2021-03-18,Istanbul,Bridgestone 215/45 R20 LM32,10,10.5,31,52,37,14.3,73,65,OFF,0,ECO
51,2021-03-22,Istanbul,Bridgestone 215/45 R20 LM32,11.5,9,31,37,51,13.6,81,73,OFF,0,ECO
52,2021-03-22,Istanbul,Bridgestone 215/45 R20 LM32,7,9,32,62,31,21.7,73,60,22,1,ECO
53,2021-03-23,Istanbul,Bridgestone 215/45 R20 LM32,12,6.5,31,37,51,17.3,81,72,22,0,ECO
54,2021-03-23,Istanbul,Bridgestone 215/45 R20 LM32,5.5,8,32,46,42,21.7,72,59,22,1,ECO
55,2021-03-24,Istanbul,Bridgestone 215/45 R20 LM32,12,3,31,33,56,19.6,81,70,22,0,ECO
56,2021-03-24,Istanbul,Bridgestone 215/45 R20 LM32,5,7,31,36,53,20.4,70,58,22,0,ECO
57,2021-03-25,Istanbul,Bridgestone 215/45 R20 LM32,11.5,3.5,31,31,59,18,81,72,22,0,ECO
58,2021-03-25,Istanbul,Bridgestone 215/45 R20 LM32,7.5,9,26,45,34,19.5,71,62,22,0,ECO
59,2021-03-25,Istanbul,Bridgestone 215/45 R20 LM32,11,7,12,29,25,16,62,,22,0,ECO
60,2021-03-26,Istanbul,Bridgestone 215/45 R20 LM32,11,6,31,31,59,17.2,81,72,22,0,ECO
61,2021-03-26,Istanbul,Bridgestone 215/45 R20 LM32,9,10.5,28,54,32,18.5,72,62,22,0,ECO
62,2021-03-27,Istanbul,Bridgestone 215/45 R20 LM32,11,4.5,18,17,64,22.2,62,55,22,0,COMFORT
63,2021-03-27,Istanbul,Bridgestone 215/45 R20 LM32,12.5,11.5,17,31,32,16.8,55,48,OFF,0,COMFORT
64,2021-03-29,Istanbul,Bridgestone 215/45 R20 LM32,12,9.5,31,41,46,14.5,81,72,OFF,1,COMFORT
65,2021-03-29,Istanbul,Bridgestone 215/45 R20 LM32,13,11,21,40,32,16.5,72,66,OFF,0,ECO
66,2021-03-29,Istanbul,Bridgestone 215/45 R20 LM32,15,10.5,19,43,27,16.8,66,59,OFF,0,ECO
67,2021-03-30,Istanbul,Bridgestone 215/45 R20 LM32,12,8.5,46,76,37,18.3,81,66,22,0,ECO
68,2021-03-30,Istanbul,Bridgestone 215/45 R20 LM32,8.5,9.5,31,39,48,16,66,56,OFF,0,ECO
